71,99,0,5,0,0:0:0:0:
181,215,594,1,0,0:0:0:0:
267,116,1188,1,0,0:0:0:0:
338,257,1782,1,0,0:0:0:0:
390,81,2376,1,0,0:0:0:0:
482,173,2970,1,0,0:0:0:0:
456,204,3267,1,0,0:0:0:0:
416,244,3564,1,0,0:0:0:0:
364,166,4158,1,0,0:0:0:0:
218,107,4752,5,0,0:0:0:0:
166,127,5049,1,0,0:0:0:0:
123,155,5346,1,0,0:0:0:0:
212,161,5940,1,0,0:0:0:0:
299,204,6534,1,0,0:0:0:0:
342,235,7128,1,0,0:0:0:0:
307,197,7425,1,0,0:0:0:0:
272,173,7722,1,0,0:0:0:0:
163,185,8316,1,0,0:0:0:0:
69,302,8910,1,0,0:0:0:0:
68,243,9207,1,0,0:0:0:0:
59,201,9504,5,0,0:0:0:0:
145,105,10099,1,0,0:0:0:0:
247,168,10693,1,0,0:0:0:0:
277,213,11287,1,0,0:0:0:0:
133,273,11881,1,0,0:0:0:0:
98,140,12475,1,0,0:0:0:0:
173,94,12772,1,0,0:0:0:0:
241,68,13069,1,0,0:0:0:0:
291,45,13663,1,0,0:0:0:0:
77,242,14257,5,0,0:0:0:0:
108,178,14554,1,0,0:0:0:0:
143,121,14851,1,0,0:0:0:0:
240,135,15445,1,0,0:0:0:0:
276,259,16039,1,0,0:0:0:0:
384,250,16633,1,0,0:0:0:0:
331,260,16930,1,0,0:0:0:0:
437,122,17227,1,0,0:0:0:0:
362,61,17821,1,0,0:0:0:0:
242,98,18415,1,0,0:0:0:0:
304,75,18712,1,0,0:0:0:0:
378,85,19009,5,0,0:0:0:0:
387,185,19603,1,0,0:0:0:0:
314,271,20198,1,0,0:0:0:0:
159,269,20792,1,0,0:0:0:0:
75,181,21386,1,0,0:0:0:0:
120,92,21980,1,0,0:0:0:0:
224,61,22277,1,0,0:0:0:0:
262,79,22574,1,0,0:0:0:0:
298,97,23168,1,0,0:0:0:0:
360,163,23762,5,0,0:0:0:0:
343,216,24059,1,0,0:0:0:0:
358,272,24356,1,0,0:0:0:0:
210,231,24950,1,0,0:0:0:0:
328,100,25544,1,0,0:0:0:0:
384,135,26138,1,0,0:0:0:0:
402,163,26435,1,0,0:0:0:0:
425,181,26732,1,0,0:0:0:0:
410,277,27326,1,0,0:0:0:0:
314,305,27920,1,0,0:0:0:0:
262,315,28217,1,0,0:0:0:0:
198,325,28514,5,0,0:0:0:0:
108,272,29108,1,0,0:0:0:0:
40,160,29702,1,0,0:0:0:0:
88,86,30297,1,0,0:0:0:0:
178,69,30891,1,0,0:0:0:0:
273,78,31485,1,0,0:0:0:0:
353,104,31782,1,0,0:0:0:0:
395,125,32079,1,0,0:0:0:0:
440,151,32673,1,0,0:0:0:0:
430,283,33267,5,0,0:0:0:0:
378,296,33564,1,0,0:0:0:0:
334,311,33861,1,0,0:0:0:0:
173,307,34455,1,0,0:0:0:0:
63,246,35049,1,0,0:0:0:0:
62,146,35643,1,0,0:0:0:0:
83,113,35940,1,0,0:0:0:0:
107,77,36237,1,0,0:0:0:0:
175,60,36831,1,0,0:0:0:0:
232,51,37425,1,0,0:0:0:0:
286,42,37722,1,0,0:0:0:0:
340,52,38019,5,0,0:0:0:0:
434,119,38613,1,0,0:0:0:0:
456,233,39207,1,0,0:0:0:0:
409,309,39801,1,0,0:0:0:0:
296,333,40396,1,0,0:0:0:0:
176,322,40990,1,0,0:0:0:0:
77,222,41287,1,0,0:0:0:0:
77,163,41584,1,0,0:0:0:0:
83,121,42178,1,0,0:0:0:0:
124,75,42772,5,0,0:0:0:0:
169,72,43069,1,0,0:0:0:0:
209,65,43366,1,0,0:0:0:0:
299,63,43960,1,0,0:0:0:0:
386,107,44554,1,0,0:0:0:0:
416,152,45148,1,0,0:0:0:0:
423,209,45445,1,0,0:0:0:0:
435,261,45742,1,0,0:0:0:0:
343,321,46336,1,0,0:0:0:0:
194,336,46930,1,0,0:0:0:0:
134,321,47227,1,0,0:0:0:0:
73,284,47524,5,0,0:0:0:0:
55,181,48118,1,0,0:0:0:0:
89,109,48712,1,0,0:0:0:0:
134,74,49306,1,0,0:0:0:0:
217,54,49900,1,0,0:0:0:0:
355,81,50495,1,0,0:0:0:0:
421,186,50792,1,0,0:0:0:0:
430,252,51089,1,0,0:0:0:0:
437,316,51683,1,0,0:0:0:0:
322,330,52277,5,0,0:0:0:0:
271,327,52574,1,0,0:0:0:0:
227,318,52871,1,0,0:0:0:0:
133,269,53465,1,0,0:0:0:0:
35,292,54059,1,0,0:0:0:0:
37,180,54653,1,0,0:0:0:0:
63,133,54950,1,0,0:0:0:0:
86,96,55247,1,0,0:0:0:0:
188,90,55841,1,0,0:0:0:0:
269,84,56435,1,0,0:0:0:0:
314,97,56732,1,0,0:0:0:0:
361,110,57029,5,0,0:0:0:0:
432,188,57623,1,0,0:0:0:0:
467,300,58217,1,0,0:0:0:0:
343,344,58811,1,0,0:0:0:0:
200,338,59405,1,0,0:0:0:0:
